conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,99133E+18;Thu Nov 20 02:00:34 +0000 2025;7;Gitu dong! Bersikap! 20/9/2025: Tegas! PAN dan PKS 'Menolak' Kebijakan Bahlil Soal 'Monopoli' Pertamina Dalam Impor BBM Untuk SPBU Swasta https://t.co/yyKzjapnpk #AdiliJokowiRajaNgibul #AdiliJokowiRajaNgibul;1,99133E+18;;;in;;0;1;5;https://x.com/undefined/status/1991325765716307993;1,60406E+18;
1,98422E+18;Sat Nov 01 22:45:38 +0000 2025;0;@araafi_aprilia Bahlil benar2 kalah set. Justru membuka aib kualitas Pertamina. Kebusukan dia mau kasih minyak kualitas jelek pada spbu swasta gagal. Ujungnya Pertamina terpaksa pakai bbm itu. Tidak heran banyak mesin motor bermasalah. Parahnya sekarang bbm impor spbu swasta mulai masuk. Bahlul.;1,98475E+18;;araafi_aprilia;in;;0;0;0;https://x.com/undefined/status/1984753729833484708;1,90249E+18;
1,98451E+18;Sat Nov 01 06:52:04 +0000 2025;0;Kelangkaan BBM di SPBU swasta bukan karena stok habis tapi akibat kebijakan keliru. Di bawah kendali Menteri ESDM Bahlil impor BBM untuk SPBU swasta dibatasi dan mereka harus membeli dari Pertamina. Dampaknya masyarakat kehilangan akses pilihan energi yangÂ lebihÂ beragam. https://t.co/WMwoaR;1,98451E+18;https://pbs.twimg.com/amplify_video_thumb/1984512872534458369/img/GzZdiBH6PS-O1OFn.jpg;;in;;0;0;0;https://x.com/undefined/status/1984513757331276190;1,88893E+18;
1,98341E+18;Wed Oct 29 11:57:23 +0000 2025;0;@pilotter_ @somexthread Kebijakan impor BBM satu pintu oleh Bahlil mewajibkan SPBU swasta kolaborasi dengan Pertamina untuk stabilitas pasokan dan hindari spekulasi harga. Namun ini dikritik karena berpotensi monopoli yang langgar Pasal 33 UUD 1945 dan UU Persaingan Usaha sebab kurangi kompetisi serta;1,9835E+18;;pilotter_;in;;0;0;0;https://x.com/undefined/status/1983503425670435083;1,72067E+18;
1,98343E+18;Wed Oct 29 06:58:43 +0000 2025;2;Menteri ESDM Bahlil Lahadalia memastikan tahun depan 2026 stasiun pengisian bahan bakar umum atau SPBU swasta akan kembali mendapatkan kuota impor bahan bakar minyak (BBM ) untuk memenuhi stoknya. Bahlil menyebut pihaknya tengah mempertimbangkan memberi kuota impor 110 persen https://t.co/B0iLoQgMCH;1,98343E+18;https://pbs.twimg.com/amplify_video_thumb/1983421402368880640/img/wiWGeyt4XAA0ycbH.jpg;;in;;0;3;1;https://x.com/undefined/status/1983428266351595532;57261519;
1,98318E+18;Wed Oct 29 06:17:31 +0000 2025;0;@kerjadarirumahq @kompascom Sebelum Agustus SPBU swasta bisa impor bebas karena kuota masih ada tapi pas habis aturan wajib beli dari Pertamina berlaku untuk jaga stok nasional dan dorong bioetanol lokal. Bahlil maksudnya jangan tolak program yang sudah direncanakan pemerintah demi lapangan kerja petani;1,98342E+18;;kerjadarirumahq;in;;0;0;0;https://x.com/undefined/status/1983417898669617653;1,72067E+18;
1,98318E+18;Wed Oct 29 06:16:00 +0000 2025;0;@kerjadarirumahq @kompascom Bahlil merespons SPBU swasta yang ogah beli BBM dari Pertamina karena campur etanol 3 5% padahal kuota impor mereka habis sejak Agustus. Pemerintah arahkan beli B2B dari Pertamina yang stoknya aman tapi swasta nggak mau karena khawatir soal etanol. Dia tekankan jangan paksakan;1,98342E+18;;kerjadarirumahq;in;;0;1;0;https://x.com/undefined/status/1983417517029908624;1,72067E+18;
1,98317E+18;Tue Oct 28 14:11:04 +0000 2025;0;Yang maksa siapa? SPBU asing diundang ke sini untuk investasi. Koq sekarang 'dipaksa' beli BBM dari Pertamina. . Sementara Pertamina sendiri impor. Gak salah tuh Bahlil?! https://t.co/2tZ4HSuGQ6;1,98317E+18;;;in;;0;0;0;https://x.com/undefined/status/1983174680434597891;96872350;
1,98304E+18;Tue Oct 28 05:00:00 +0000 2025;0;Menteri ESDM Bahlil Lahadalia Pastikan Kuota Impor BBM untuk SPBU Swasta Tetap 10 Persen di 2026 https://t.co/pI4NBwV2FC #partaigolkar #bahlillahadalia #golkar2029 #61TahunGolkar;1,98304E+18;;;in;;0;0;5;https://x.com/undefined/status/1983036002437378481;1,92073E+18;
1,9825E+18;Sun Oct 26 17:15:42 +0000 2025;1;Bahlil Lahadalia Semprot Pihak yang Minta Tambah Impor BBM SPBU Swasta: Ini Negara Hukum Bukan Negara Tanpa Tuan! https://t.co/aEAyuNDMjm #bahlillahadalia #partaigolkar #golkarpedia #61TahunGolkar Senin Kipli https://t.co/jJfsYTGYmT;1,9825E+18;https://pbs.twimg.com/ext_tw_video_thumb/1982496315691909120/pu/img/kcZAGdqyFl7GYlDJ.jpg;;in;;0;0;6;https://x.com/undefined/status/1982496370423722275;1,96775E+18;
